Series_Title,Genre,Released_Year,IMDB_Rating,dataset_split
The Royal Tenenbaums,"Comedy, Drama",2001,7.6,train
Y tu mamá también,Drama,2001,7.6,train
Harry Potter and the Sorcerer's Stone,"Adventure, Family, Fantasy",2001,7.6,test
The Others,"Horror, Mystery, Thriller",2001,7.6,test
Blow,"Biography, Crime, Drama",2001,7.6,train
Enemy at the Gates,"Drama, History, War",2001,7.6,train
Minority Report,"Action, Crime, Mystery",2002,7.6,train
The Hurricane,"Biography, Drama, Sport",1999,7.6,train
American Psycho,"Comedy, Crime, Drama",2000,7.6,train
Lola rennt,"Crime, Drama, Thriller",1998,7.6,train
The Thin Red Line,"Drama, War",1998,7.6,train
Mulan,"Animation, Adventure, Family",1998,7.6,train
Fear and Loathing in Las Vegas,"Adventure, Comedy, Drama",1998,7.6,train
Funny Games,"Crime, Drama, Thriller",1997,7.6,train
Dark City,"Mystery, Sci-Fi, Thriller",1998,7.6,test
Sleepers,"Crime, Drama, Thriller",1996,7.6,train
Lost Highway,"Mystery, Thriller",1997,7.6,train
Sense and Sensibility,"Drama, Romance",1995,7.6,train
Die Hard: With a Vengeance,"Action, Adventure, Thriller",1995,7.6,train
Dead Man,"Adventure, Drama, Fantasy",1995,7.6,train
The Bridges of Madison County,"Drama, Romance",1995,7.6,train
Apollo 13,"Adventure, Drama, History",PG,7.6,train
Trois couleurs: Blanc,"Comedy, Drama, Romance",1994,7.6,train
Falling Down,"Action, Crime, Drama",1993,7.6,train
Dazed and Confused,Comedy,1993,7.6,train
My Cousin Vinny,"Comedy, Crime",1992,7.6,train
Omohide poro poro,"Animation, Drama, Romance",1991,7.6,train
Delicatessen,"Comedy, Crime",1991,7.6,train
Home Alone,"Comedy, Family",1990,7.6,test
The Godfather: Part III,"Crime, Drama",1990,7.6,test
When Harry Met Sally...,"Comedy, Drama, Romance",1989,7.6,train
The Little Mermaid,"Animation, Family, Fantasy",1989,7.6,train
The Naked Gun: From the Files of Police Squad!,"Comedy, Crime",1988,7.6,test
"Planes, Trains & Automobiles","Comedy, Drama",1987,7.6,test
Lethal Weapon,"Action, Crime, Thriller",1987,7.6,train
Blood Simple,"Crime, Drama, Thriller",1984,7.6,train
On Golden Pond,Drama,1981,7.6,train
Mad Max 2,"Action, Adventure, Sci-Fi",1981,7.6,train
The Warriors,"Action, Crime, Thriller",1979,7.6,train
The Muppet Movie,"Adventure, Comedy, Family",1979,7.6,train
Escape from Alcatraz,"Action, Biography, Crime",1979,7.6,test
Watership Down,"Animation, Adventure, Drama",1978,7.6,test
Midnight Express,"Biography, Crime, Drama",1978,7.6,train
Close Encounters of the Third Kind,"Drama, Sci-Fi",1977,7.6,train
The Long Goodbye,"Comedy, Crime, Drama",1973,7.6,test
Giù la testa,"Drama, War, Western",1971,7.6,train
Kelly's Heroes,"Adventure, Comedy, War",1970,7.6,train
The Jungle Book,"Animation, Adventure, Family",1967,7.6,train
Blowup,"Drama, Mystery, Thriller",1966,7.6,train
A Hard Day's Night,"Comedy, Music, Musical",1964,7.6,train
Breakfast at Tiffany's,"Comedy, Drama, Romance",1961,7.6,test
Giant,"Drama, Western",1956,7.6,train
From Here to Eternity,"Drama, Romance, War",1953,7.6,train
Lifeboat,"Drama, War",1944,7.6,test
The 39 Steps,"Crime, Mystery, Thriller",1935,7.6,train
